"","ProbeID","Codeset.Name","Probe.Label","Analyte.Type","Is.Control","Control.Type","Probe.Annotation","KEGG.Pathways","Cell.Type","Official.Gene.Name","probeLabel.Type","below.threshold"
"PPP3CB - mRNA","NM_021132.2:270","NS_HS_GLIAL_V1.0","PPP3CB","mRNA",0,"","MAPK & PI3K;Calcium Signaling","hsa04010;hsa04020;hsa04022;hsa04114;hsa04210;hsa04310;hsa04360;hsa04370;hsa04380;hsa04650;hsa04660;hsa04662;hsa04720;hsa04724;hsa04728;hsa04921;hsa04922;hsa04924;hsa05010;hsa05014;hsa05031;hsa05152;hsa05166","","PPP3CB","PPP3CB - mRNA","False"
"YWHAG - mRNA","NM_012479.4:389","NS_HS_GLIAL_V1.0","YWHAG","mRNA",0,"","Neurogenesis;Cell Cycle","hsa04110;hsa04114;hsa04151;hsa04390;hsa05169;hsa05203","","YWHAG","YWHAG - mRNA","False"
"ATP2B2 - mRNA","NM_001001331.2:426","NS_HS_GLIAL_V1.0","ATP2B2","mRNA",0,"","Ion Transport;Calcium Signaling","hsa04020;hsa04022;hsa04024;hsa04261;hsa04970;hsa04972","","ATP2B2","ATP2B2 - mRNA","False"
"GRIA2 - mRNA","NM_001083620.1:865","NS_HS_GLIAL_V1.0","GRIA2","mRNA",0,"","Neuroactive Ligands and Receptors;Glutamatergic Synapse;Dopaminergic Synapse;Cannabinoid Signaling","hsa04024;hsa04080;hsa04713;hsa04720;hsa04723;hsa04724;hsa04728;hsa04730;hsa05014;hsa05030;hsa05031;hsa05033","","GRIA2","GRIA2 - mRNA","False"
"SLC17A7 - mRNA","NM_020309.2:1330","NS_HS_GLIAL_V1.0","SLC17A7","mRNA",0,"","Neuronal Markers;Glutamatergic Synapse;Cannabinoid Signaling","hsa04721;hsa04723;hsa04724;hsa05033","","SLC17A7","SLC17A7 - mRNA","False"
"UBQLN1 - mRNA","NM_053067.2:990","NS_HS_GLIAL_V1.0","UBQLN1","mRNA",0,"","Proteotoxic Stress","hsa04141","","UBQLN1","UBQLN1 - mRNA","False"
"NRCAM - mRNA","NM_005010.4:875","NS_HS_GLIAL_V1.0","NRCAM","mRNA",0,"","Neurogenesis;Cytoskeletal Dynamics;Cell Migration;Astrocyte Markers","hsa04514","","NRCAM","NRCAM - mRNA","False"
"VDAC1 - mRNA","NM_003374.3:755","NS_HS_GLIAL_V1.0","VDAC1","mRNA",0,"","Calcium Signaling;Autophagy","hsa04020;hsa04022;hsa05012;hsa05016;hsa05164;hsa05166","","VDAC1","VDAC1 - mRNA","False"
"PPP2CA - mRNA","NM_002715.2:1075","NS_HS_GLIAL_V1.0","PPP2CA","mRNA",0,"","TGF-Beta Signaling","hsa04071;hsa04114;hsa04151;hsa04152;hsa04261;hsa04350;hsa04390;hsa04530;hsa04728;hsa04730;hsa05142;hsa05160","","PPP2CA","PPP2CA - mRNA","False"
"CYFIP2 - mRNA","NM_001037333.1:2142","NS_HS_GLIAL_V1.0","CYFIP2","mRNA",0,"","Neurogenesis;Angiogenesis","hsa04810","","CYFIP2","CYFIP2 - mRNA","False"
"REEP5 - mRNA","NM_005669.4:280","NS_HS_GLIAL_V1.0","REEP5","mRNA",0,"","Primed Microglia","","","REEP5","REEP5 - mRNA","False"
"GNAS - mRNA","NM_080425.1:1910","NS_HS_GLIAL_V1.0","GNAS","mRNA",0,"","Serotonergic Synapse;Microglia Neurodegenerative Phenotype (MGnD);Glutamatergic Synapse;Dopaminergic Synapse;Calcium Signaling","hsa04015;hsa04020;hsa04024;hsa04072;hsa04261;hsa04270;hsa04540;hsa04611;hsa04713;hsa04724;hsa04726;hsa04728;hsa04730;hsa04750;hsa04911;hsa04912;hsa04913;hsa04915;hsa04916;hsa04918;hsa04921;hsa04922;hsa04923;hsa04924;hsa04925;hsa04961;hsa04962;hsa04970;hsa04971;hsa04972;hsa04976;hsa05030;hsa05031;hsa05032;hsa05034;hsa05110;hsa05142;hsa05146;hsa05200;hsa05414","","GNAS","GNAS - mRNA","False"
"NCKAP1 - mRNA","NM_013436.3:2353","NS_HS_GLIAL_V1.0","NCKAP1","mRNA",0,"","Neurogenesis;Angiogenesis","hsa04810","","NCKAP1","NCKAP1 - mRNA","False"
"PRKAR1A - mRNA","NM_212472.1:367","NS_HS_GLIAL_V1.0","PRKAR1A","mRNA",0,"","Insulin Signaling","hsa04210;hsa04910","","PRKAR1A","PRKAR1A - mRNA","False"
"GNB1 - mRNA","NM_001282539.1:670","NS_HS_GLIAL_V1.0","GNB1","mRNA",0,"","Serotonergic Synapse;Glutamatergic Synapse;GABAergic Synapse;Dopaminergic Synapse;Cholinergic Synapse;Cannabinoid Signaling","hsa04014;hsa04062;hsa04151;hsa04713;hsa04723;hsa04724;hsa04725;hsa04726;hsa04727;hsa04728;hsa04740;hsa05032;hsa05034;hsa05200","","GNB1","GNB1 - mRNA","False"
"AKT3 - mRNA","NM_005465.4:287","NS_HS_GLIAL_V1.0","AKT3","mRNA",0,"","MAPK & PI3K","hsa04010;hsa04012;hsa04014;hsa04015;hsa04022;hsa04024;hsa04062;hsa04066;hsa04068;hsa04071;hsa04072;hsa04150;hsa04151;hsa04152;hsa04210;hsa04211;hsa04213;hsa04261;hsa04370;hsa04380;hsa04510;hsa04530;hsa04550;hsa04611;hsa04620;hsa04630;hsa04660;hsa04662;hsa04664;hsa04666;hsa04668;hsa04722;hsa04725;hsa04728;hsa04910;hsa04914;hsa04915;hsa04917;hsa04919;hsa04920;hsa04922;hsa04923;hsa04931;hsa04932;hsa04933;hsa04973;hsa05142;hsa05145;hsa05152;hsa05160;hsa05161;hsa05162;hsa05164;hsa05166;hsa05169;hsa05200;hsa05205;hsa05210;hsa05211;hsa05212;hsa05213;hsa05214;hsa05215;hsa05218;hsa05220;hsa05221;hsa05222;hsa05223;hsa05230;hsa05231","","AKT3","AKT3 - mRNA","False"
"SPTAN1 - mRNA","NM_001130438.1:6830","NS_HS_GLIAL_V1.0","SPTAN1","mRNA",0,"","Neurogenesis","hsa04530","","SPTAN1","SPTAN1 - mRNA","False"
"SOD1 - mRNA","NM_000454.4:245","NS_HS_GLIAL_V1.0","SOD1","mRNA",0,"","Oxidative & Nitrosative Stress;Neurogenesis;Myelogenesis","hsa04146;hsa04213;hsa05014;hsa05016;hsa05020","","SOD1","SOD1 - mRNA","False"
"APLP2 - mRNA","NM_001642.2:1380","NS_HS_GLIAL_V1.0","APLP2","mRNA",0,"","Primed Microglia","","","APLP2","APLP2 - mRNA","False"
"YWHAE - mRNA","NM_006761.4:770","NS_HS_GLIAL_V1.0","YWHAE","mRNA",0,"","Neurotrophin Signaling;Neurogenesis;Cell Cycle","hsa04110;hsa04114;hsa04151;hsa04390;hsa04722;hsa05169;hsa05203","","YWHAE","YWHAE - mRNA","False"
"EID1 - mRNA","NM_014335.3:413","NS_HS_GLIAL_V1.0","EID1","mRNA",0,"","Primed Microglia","","","EID1","EID1 - mRNA","False"
"MAP2 - mRNA","NM_001039538.1:1156","NS_HS_GLIAL_V1.0","MAP2","mRNA",0,"","Neuronal Markers;Neurogenesis;Cytoskeletal Dynamics","","","MAP2","MAP2 - mRNA","False"
"TPI1 - mRNA","NM_000365.5:153","NS_HS_GLIAL_V1.0","TPI1","mRNA",0,"","Primed Microglia;Glucose Metabolism","hsa00010","","TPI1","TPI1 - mRNA","False"
"STMN1 - mRNA","NM_203401.1:478","NS_HS_GLIAL_V1.0","STMN1","mRNA",0,"","Neuronal Markers;Neurogenesis;MAPK & PI3K","hsa04010;hsa05206","","STMN1","STMN1 - mRNA","False"
"TSPAN7 - mRNA","NM_004615.3:725","NS_HS_GLIAL_V1.0","TSPAN7","mRNA",0,"","Astrocyte Markers","hsa05202","","TSPAN7","TSPAN7 - mRNA","False"
"ATP6V1E1 - mRNA","NM_001696.4:580","NS_HS_GLIAL_V1.0","ATP6V1E1","mRNA",0,"","Phagocytosis;Ion Transport","hsa00190;hsa04145;hsa04721;hsa04966;hsa05110;hsa05120;hsa05323","","ATP6V1E1","ATP6V1E1 - mRNA","False"
"PGK1 - mRNA","NM_000291.2:1030","NS_HS_GLIAL_V1.0","PGK1","mRNA",0,"","Glucose Metabolism","hsa00010;hsa04066","","PGK1","PGK1 - mRNA","False"
"GABARAPL1 - mRNA","NM_031412.2:420","NS_HS_GLIAL_V1.0","GABARAPL1","mRNA",0,"","GABAergic Synapse;Autophagy","hsa04068;hsa04140;hsa04727","","GABARAPL1","GABARAPL1 - mRNA","False"
"CALM3 - mRNA","NM_005184.4:405","NS_HS_GLIAL_V1.0","CALM3","mRNA",0,"","Calcium Signaling","hsa04014;hsa04015;hsa04020;hsa04022;hsa04024;hsa04070;hsa04114;hsa04261;hsa04270;hsa04713;hsa04720;hsa04722;hsa04728;hsa04740;hsa04750;hsa04910;hsa04912;hsa04915;hsa04916;hsa04921;hsa04922;hsa04924;hsa04925;hsa04970;hsa04971;hsa05010;hsa05031;hsa05034;hsa05133;hsa05152;hsa05214","","CALM3","CALM3 - mRNA","False"
"ENO2 - mRNA","NM_001975.2:1420","NS_HS_GLIAL_V1.0","ENO2","mRNA",0,"","Neuronal Markers;Hypoxia;Glucose Metabolism","hsa00010;hsa04066","","ENO2","ENO2 - mRNA","False"
"RTN1 - mRNA","NM_021136.2:2400","NS_HS_GLIAL_V1.0","RTN1","mRNA",0,"","Neurogenesis","","","RTN1","RTN1 - mRNA","False"
"STXBP1 - mRNA","NM_001032221.3:1620","NS_HS_GLIAL_V1.0","STXBP1","mRNA",0,"","Neurogenesis","hsa04721","","STXBP1","STXBP1 - mRNA","False"
"DNM1 - mRNA","NM_004408.2:817","NS_HS_GLIAL_V1.0","DNM1","mRNA",0,"","Gap Junctions;Cytoskeletal Dynamics;Antigen Processing and Presentation","hsa04072;hsa04144;hsa04721;hsa04961;hsa05100","","DNM1","DNM1 - mRNA","False"
"CHN1 - mRNA","NM_001025201.3:1018","NS_HS_GLIAL_V1.0","CHN1","mRNA",0,"","Neurogenesis","","","CHN1","CHN1 - mRNA","False"
"HSPA1A - mRNA","NM_005345.5:1875","NS_HS_GLIAL_V1.0","HSPA1A","mRNA",0,"","Proteotoxic Stress;Microglial Markers","hsa04010;hsa04141;hsa04144;hsa04213;hsa04612;hsa04915;hsa05020;hsa05134;hsa05145;hsa05162;hsa05164;hsa05169","","HSPA1A","HSPA1A - mRNA","False"
"AHCYL1 - mRNA","NM_001242674.1:1103","NS_HS_GLIAL_V1.0","AHCYL1","mRNA",0,"","Astrocyte Markers;Angiogenesis","","","AHCYL1","AHCYL1 - mRNA","False"
"S100B - mRNA","NM_006272.2:304","NS_HS_GLIAL_V1.0","S100B","mRNA",0,"","Neurogenesis;Myelogenesis;Astrocyte Markers","","","S100B","S100B - mRNA","False"
"SPARC - mRNA","NM_003118.3:974","NS_HS_GLIAL_V1.0","SPARC","mRNA",0,"","Primed Microglia;Homeostatic Microglia","","","SPARC","SPARC - mRNA","False"
"VIM - mRNA","NM_003380.2:694","NS_HS_GLIAL_V1.0","VIM","mRNA",0,"","Cytoskeletal Dynamics;Astrocyte Markers;Astrocyte DifferentiationFunction","hsa05169;hsa05206","","VIM","VIM - mRNA","False"
"APOE - mRNA","NM_000041.2:96","NS_HS_GLIAL_V1.0","APOE","mRNA",0,"","Stage 1 DAM;Primed Microglia;Microglia Neurodegenerative Phenotype (MGnD);Astrocyte Markers","hsa05010","","APOE","APOE - mRNA","False"
"PLEKHB1 - mRNA","NM_021200.3:575","NS_HS_GLIAL_V1.0","PLEKHB1","mRNA",0,"","","","Oligodendrocytes","PLEKHB1","PLEKHB1 - mRNA","False"
"QDPR - mRNA","NM_001306140.1:305","NS_HS_GLIAL_V1.0","QDPR","mRNA",0,"","Oligodendrocyte Markers","","","QDPR","QDPR - mRNA","False"
"CNP - mRNA","NM_033133.5:826","NS_HS_GLIAL_V1.0","CNP","mRNA",0,"","Oligodendrocyte DifferentiationMaturation;Myelogenesis","","","CNP","CNP - mRNA","False"
"CHI3L1 - mRNA","NM_001276.2:475","NS_HS_GLIAL_V1.0","CHI3L1","mRNA",0,"","Astrocyte Markers","","","CHI3L1","CHI3L1 - mRNA","False"
"SERPINA3 - mRNA","NM_001085.4:1220","NS_HS_GLIAL_V1.0","SERPINA3","mRNA",0,"","Astrocyte Markers","","","SERPINA3","SERPINA3 - mRNA","False"
"NEFL - mRNA","NM_006158.3:1112","NS_HS_GLIAL_V1.0","NEFL","mRNA",0,"","Neuronal Markers;Neurogenesis;Cytoskeletal Dynamics","hsa05014","","NEFL","NEFL - mRNA","False"
"PPP3R1 - mRNA","NM_000945.3:394","NS_HS_GLIAL_V1.0","PPP3R1","mRNA",0,"","MAPK & PI3K;Calcium Signaling","hsa04010;hsa04020;hsa04022;hsa04114;hsa04210;hsa04310;hsa04360;hsa04370;hsa04380;hsa04650;hsa04660;hsa04662;hsa04720;hsa04724;hsa04921;hsa04922;hsa04924;hsa05010;hsa05014;hsa05031;hsa05152;hsa05166","","PPP3R1","PPP3R1 - mRNA","False"
"ATP6V1B2 - mRNA","NM_001693.3:405","NS_HS_GLIAL_V1.0","ATP6V1B2","mRNA",0,"","Primed Microglia;Phagocytosis;Ion Transport","hsa00190;hsa04145;hsa04721;hsa04966;hsa05110;hsa05120;hsa05323","","ATP6V1B2","ATP6V1B2 - mRNA","False"
"RAB6B - mRNA","NM_016577.3:620","NS_HS_GLIAL_V1.0","RAB6B","mRNA",0,"","Primed Microglia","","","RAB6B","RAB6B - mRNA","False"
"ATP1B1 - mRNA","NM_001677.3:190","NS_HS_GLIAL_V1.0","ATP1B1","mRNA",0,"","Ion Transport","hsa04022;hsa04024;hsa04260;hsa04261;hsa04911;hsa04918;hsa04919;hsa04960;hsa04961;hsa04970;hsa04971;hsa04972;hsa04973;hsa04974;hsa04976;hsa04978","","ATP1B1","ATP1B1 - mRNA","False"
"SERPINI1 - mRNA","NM_005025.4:435","NS_HS_GLIAL_V1.0","SERPINI1","mRNA",0,"","Neurogenesis","","","SERPINI1","SERPINI1 - mRNA","False"
"GNG3 - mRNA","NM_012202.5:296","NS_HS_GLIAL_V1.0","GNG3","mRNA",0,"","Serotonergic Synapse;Glutamatergic Synapse;GABAergic Synapse;Dopaminergic Synapse;Cholinergic Synapse;Cannabinoid Signaling","hsa04014;hsa04062;hsa04151;hsa04713;hsa04723;hsa04724;hsa04725;hsa04726;hsa04727;hsa04728;hsa05032;hsa05034;hsa05200","","GNG3","GNG3 - mRNA","False"
"SLC12A5 - mRNA","NM_001134771.1:2825","NS_HS_GLIAL_V1.0","SLC12A5","mRNA",0,"","Neurogenesis;GABAergic Synapse","hsa04727","","SLC12A5","SLC12A5 - mRNA","False"
"SYN1 - mRNA","NM_006950.3:565","NS_HS_GLIAL_V1.0","SYN1","mRNA",0,"","Serotonergic Synapse;Neuronal Markers;Neurogenesis;Dopaminergic Synapse;Cytoskeletal Dynamics","","","SYN1","SYN1 - mRNA","False"
"INA - mRNA","NM_032727.4:1270","NS_HS_GLIAL_V1.0","INA","mRNA",0,"","Cytoskeletal Dynamics","","","INA","INA - mRNA","False"
"PAK1 - mRNA","NM_002576.3:975","NS_HS_GLIAL_V1.0","PAK1","mRNA",0,"","T-cell signaling;Phagocytosis;Neurogenesis;MAPK & PI3K;Cytoskeletal Dynamics;Cell Migration","hsa04010;hsa04012;hsa04014;hsa04024;hsa04062;hsa04360;hsa04510;hsa04650;hsa04660;hsa04666;hsa04810;hsa05120;hsa05205;hsa05211","","PAK1","PAK1 - mRNA","False"
"MAPK10 - mRNA","NM_138981.2:450","NS_HS_GLIAL_V1.0","MAPK10","mRNA",0,"","MAPK & PI3K","hsa04010;hsa04012;hsa04014;hsa04024;hsa04068;hsa04071;hsa04141;hsa04310;hsa04380;hsa04510;hsa04620;hsa04621;hsa04622;hsa04664;hsa04668;hsa04722;hsa04723;hsa04728;hsa04750;hsa04910;hsa04912;hsa04914;hsa04917;hsa04920;hsa04930;hsa04931;hsa04932;hsa04933;hsa05120;hsa05131;hsa05132;hsa05133;hsa05142;hsa05145;hsa05152;hsa05160;hsa05161;hsa05164;hsa05168;hsa05169;hsa05200;hsa05210;hsa05212;hsa05231","","MAPK10","MAPK10 - mRNA","False"
"NPTN - mRNA","NM_001161363.1:1022","NS_HS_GLIAL_V1.0","NPTN","mRNA",0,"","Neurogenesis;Cytoskeletal Dynamics","","","NPTN","NPTN - mRNA","False"
"ATP6V1A - mRNA","NM_001690.2:1320","NS_HS_GLIAL_V1.0","ATP6V1A","mRNA",0,"","Primed Microglia;Phagocytosis;Ion Transport","hsa00190;hsa04145;hsa04721;hsa04966;hsa05110;hsa05120;hsa05323","","ATP6V1A","ATP6V1A - mRNA","False"
"SCOC - mRNA","NM_032547.3:285","NS_HS_GLIAL_V1.0","SCOC","mRNA",0,"","Primed Microglia;Microglial Markers","","","SCOC","SCOC - mRNA","False"
"TXN - mRNA","NM_003329.2:55","NS_HS_GLIAL_V1.0","TXN","mRNA",0,"","Primed Microglia;Oxidative & Nitrosative Stress;Inflammasome","","","TXN","TXN - mRNA","False"
"DNAJC5 - mRNA","NM_025219.3:230","NS_HS_GLIAL_V1.0","DNAJC5","mRNA",0,"","Proteotoxic Stress;GABAergic Synapse","hsa04141","","DNAJC5","DNAJC5 - mRNA","False"
"HK1 - mRNA","NM_033496.2:1900","NS_HS_GLIAL_V1.0","HK1","mRNA",0,"","Glucose Metabolism","hsa00010;hsa04066;hsa04910;hsa04930;hsa04973;hsa05230","","HK1","HK1 - mRNA","False"
"ATP5MC3 - mRNA","NM_001002258.4:340","NS_HS_GLIAL_V1.0","ATP5MC3","mRNA",0,"","Glucose Metabolism","hsa00190;hsa05010;hsa05012;hsa05016","","ATP5MC3","ATP5MC3 - mRNA","False"
"ATP6V1H - mRNA","NM_213620.1:490","NS_HS_GLIAL_V1.0","ATP6V1H","mRNA",0,"","Phagocytosis;Ion Transport","hsa00190;hsa04142;hsa04145;hsa04721;hsa05110;hsa05120;hsa05152;hsa05323","","ATP6V1H","ATP6V1H - mRNA","False"
"PTK2B - mRNA","NM_004103.3:735","NS_HS_GLIAL_V1.0","PTK2B","mRNA",0,"","NO Metabolism and Signaling;Cytoskeletal Dynamics;Calcium Signaling","hsa04020;hsa04062;hsa04072;hsa04650;hsa04670;hsa04912;hsa05161","","PTK2B","PTK2B - mRNA","False"
"OPCML - mRNA","NM_002545.4:873","NS_HS_GLIAL_V1.0","OPCML","mRNA",0,"","Neurogenesis","","","OPCML","OPCML - mRNA","False"
"AMPH - mRNA","NM_001635.3:526","NS_HS_GLIAL_V1.0","AMPH","mRNA",0,"","Phagocytosis","hsa04144;hsa04666","","AMPH","AMPH - mRNA","False"
"SCN8A - mRNA","NM_014191.2:945","NS_HS_GLIAL_V1.0","SCN8A","mRNA",0,"","Myelogenesis;Ion Transport","","","SCN8A","SCN8A - mRNA","False"
"WASF1 - mRNA","NM_001024934.1:1425","NS_HS_GLIAL_V1.0","WASF1","mRNA",0,"","Phagocytosis;Angiogenesis","hsa04520;hsa04666;hsa04810;hsa05100;hsa05131;hsa05132;hsa05231","","WASF1","WASF1 - mRNA","False"
"DCLK1 - mRNA","NM_004734.4:1571","NS_HS_GLIAL_V1.0","DCLK1","mRNA",0,"","Neurogenesis","","","DCLK1","DCLK1 - mRNA","False"
"GLS - mRNA","NM_014905.3:985","NS_HS_GLIAL_V1.0","GLS","mRNA",0,"","Glutamatergic Synapse;GABAergic Synapse","hsa00220;hsa00250;hsa04724;hsa04727;hsa05206;hsa05230","","GLS","GLS - mRNA","False"
"ATP6V1C1 - mRNA","NM_001007254.1:800","NS_HS_GLIAL_V1.0","ATP6V1C1","mRNA",0,"","Primed Microglia;Phagocytosis;Ion Transport","hsa00190;hsa04145;hsa04721;hsa04966;hsa05110;hsa05120;hsa05323","","ATP6V1C1","ATP6V1C1 - mRNA","False"
"PRKACB - mRNA","NM_182948.2:805","NS_HS_GLIAL_V1.0","PRKACB","mRNA",0,"","Wnt Signaling;MAPK & PI3K;Calcium Signaling","hsa04010;hsa04014;hsa04020;hsa04024;hsa04062;hsa04114;hsa04210;hsa04211;hsa04213;hsa04261;hsa04270;hsa04310;hsa04540;hsa04611;hsa04713;hsa04720;hsa04723;hsa04724;hsa04725;hsa04726;hsa04727;hsa04728;hsa04740;hsa04742;hsa04750;hsa04910;hsa04911;hsa04912;hsa04913;hsa04914;hsa04915;hsa04916;hsa04918;hsa04919;hsa04921;hsa04922;hsa04923;hsa04924;hsa04925;hsa04961;hsa04962;hsa04970;hsa04971;hsa04976;hsa05012;hsa05020;hsa05030;hsa05031;hsa05032;hsa05110;hsa05146;hsa05166;hsa05169;hsa05200;hsa05203;hsa05205;hsa05414","","PRKACB","PRKACB - mRNA","False"
"ATP1A1 - mRNA","NM_000701.7:1550","NS_HS_GLIAL_V1.0","ATP1A1","mRNA",0,"","Primed Microglia;Ion Transport","hsa04022;hsa04024;hsa04260;hsa04261;hsa04911;hsa04918;hsa04919;hsa04960;hsa04961;hsa04970;hsa04971;hsa04972;hsa04973;hsa04974;hsa04976;hsa04978","","ATP1A1","ATP1A1 - mRNA","False"
"ATP5F1B - mRNA","NM_001686.3:645","NS_HS_GLIAL_V1.0","ATP5F1B","mRNA",0,"","Glucose Metabolism","hsa00190;hsa05010;hsa05012;hsa05016","","ATP5F1B","ATP5F1B - mRNA","False"
"DLGAP1 - mRNA","NM_001003809.2:1222","NS_HS_GLIAL_V1.0","DLGAP1","mRNA",0,"","Glutamatergic Synapse","hsa04724","","DLGAP1","DLGAP1 - mRNA","False"
"GAS7 - mRNA","NM_201433.2:690","NS_HS_GLIAL_V1.0","GAS7","mRNA",0,"","Primed Microglia;Neurogenesis","","","GAS7","GAS7 - mRNA","False"
"GRIA3 - mRNA","NM_000828.4:426","NS_HS_GLIAL_V1.0","GRIA3","mRNA",0,"","Neuroactive Ligands and Receptors;Glutamatergic Synapse;Dopaminergic Synapse;Cannabinoid Signaling","hsa04024;hsa04080;hsa04713;hsa04723;hsa04724;hsa04728;hsa04730;hsa05031;hsa05033;hsa05202","","GRIA3","GRIA3 - mRNA","False"
"GPRASP1 - mRNA","NM_001099410.1:1375","NS_HS_GLIAL_V1.0","GPRASP1","mRNA",0,"","Primed Microglia","","","GPRASP1","GPRASP1 - mRNA","False"
"CD47 - mRNA","NM_001777.3:897","NS_HS_GLIAL_V1.0","CD47","mRNA",0,"","NO Metabolism and Signaling","","","CD47","CD47 - mRNA","False"
"ATP6V0D1 - mRNA","NM_004691.4:970","NS_HS_GLIAL_V1.0","ATP6V0D1","mRNA",0,"","Phagocytosis;Ion Transport;Cytoskeletal Dynamics","hsa00190;hsa04142;hsa04145;hsa04721;hsa04966;hsa05110;hsa05120;hsa05152;hsa05203;hsa05323","","ATP6V0D1","ATP6V0D1 - mRNA","False"
"SH3GL2 - mRNA","NM_003026.2:381","NS_HS_GLIAL_V1.0","SH3GL2","mRNA",0,"","Neurogenesis;Antigen Processing and Presentation","hsa04144","","SH3GL2","SH3GL2 - mRNA","False"
"SYN2 - mRNA","NM_003178.5:1292","NS_HS_GLIAL_V1.0","SYN2","mRNA",0,"","Serotonergic Synapse;Dopaminergic Synapse","","","SYN2","SYN2 - mRNA","False"
"RAB3A - mRNA","NM_002866.4:177","NS_HS_GLIAL_V1.0","RAB3A","mRNA",0,"","Glutamatergic Synapse;GABAergic Synapse","hsa04721;hsa04911","","RAB3A","RAB3A - mRNA","False"
"FABP5 - mRNA","NM_001444.1:100","NS_HS_GLIAL_V1.0","FABP5","mRNA",0,"","Microglia Neurodegenerative Phenotype (MGnD)","hsa03320","","FABP5","FABP5 - mRNA","False"
"FLT1 - mRNA","NM_002019.4:530","NS_HS_GLIAL_V1.0","FLT1","mRNA",0,"","MAPK & PI3K;Hypoxia","hsa04014;hsa04015;hsa04060;hsa04066;hsa04144;hsa04151;hsa04510;hsa05202;hsa05323","Endothelial Cells","FLT1","FLT1 - mRNA","False"
"SERPINE2 - mRNA","NM_006216.2:240","NS_HS_GLIAL_V1.0","SERPINE2","mRNA",0,"","Neurogenesis;Microglial Markers","","","SERPINE2","SERPINE2 - mRNA","False"
"STAT3 - mRNA","NM_003150.3:2060","NS_HS_GLIAL_V1.0","STAT3","mRNA",0,"","Neurogenesis;JAK-STAT","hsa04062;hsa04066;hsa04068;hsa04550;hsa04630;hsa04917;hsa04920;hsa04931;hsa04933;hsa05145;hsa05160;hsa05161;hsa05162;hsa05169;hsa05200;hsa05203;hsa05205;hsa05206;hsa05212;hsa05221;hsa05321","","STAT3","STAT3 - mRNA","False"
"ADGRG1 - mRNA","NM_005682.4:1145","NS_HS_GLIAL_V1.0","ADGRG1","mRNA",0,"","Neurogenesis;Microglia Neurodegenerative Phenotype (MGnD)","","","ADGRG1","ADGRG1 - mRNA","False"
"CA2 - mRNA","NM_000067.2:575","NS_HS_GLIAL_V1.0","CA2","mRNA",0,"","Oligodendrocyte Markers;Cytoskeletal Dynamics","hsa04966;hsa04971;hsa04972;hsa04976","","CA2","CA2 - mRNA","False"
"FGF2 - mRNA","NM_002006.4:620","NS_HS_GLIAL_V1.0","FGF2","mRNA",0,"","MAPK & PI3K;Cytokines","hsa04010;hsa04014;hsa04015;hsa04151;hsa04550;hsa04810;hsa05200;hsa05205;hsa05218","","FGF2","FGF2 - mRNA","False"
"HLA-E - mRNA","NM_005516.5:330","NS_HS_GLIAL_V1.0","HLA-E","mRNA",0,"","Antigen Processing and Presentation;A1 Astrocyte","hsa04144;hsa04145;hsa04514;hsa04612;hsa04650;hsa04940;hsa05166;hsa05168;hsa05169;hsa05203;hsa05320;hsa05330;hsa05332;hsa05416","","HLA-E","HLA-E - mRNA","False"
"HLA-A - mRNA","NM_002116.5:1000","NS_HS_GLIAL_V1.0","HLA-A","mRNA",0,"","Antigen Processing and Presentation;A1 Astrocyte","hsa04144;hsa04145;hsa04514;hsa04612;hsa04650;hsa04940;hsa05166;hsa05168;hsa05169;hsa05203;hsa05320;hsa05330;hsa05332;hsa05416","","HLA-A","HLA-A - mRNA","False"
"RANBP9 - mRNA","NM_005493.2:2000","NS_HS_GLIAL_V1.0","RANBP9","mRNA",0,"","Neurogenesis","","","RANBP9","RANBP9 - mRNA","False"
"SYNGR1 - mRNA","NM_145731.3:296","NS_HS_GLIAL_V1.0","SYNGR1","mRNA",0,"","Neurogenesis","","","SYNGR1","SYNGR1 - mRNA","False"
"THRB - mRNA","NM_000461.4:385","NS_HS_GLIAL_V1.0","THRB","mRNA",0,"","Neuroactive Ligands and Receptors","hsa04080;hsa04919","","THRB","THRB - mRNA","False"
"MAP2K4 - mRNA","NM_003010.2:771","NS_HS_GLIAL_V1.0","MAP2K4","mRNA",0,"","MAPK & PI3K","hsa04010;hsa04012;hsa04620;hsa04664;hsa04668;hsa04912;hsa05120;hsa05142;hsa05161;hsa05164;hsa05166;hsa05169","","MAP2K4","MAP2K4 - mRNA","False"
"ARPC5L - mRNA","NM_030978.3:1490","NS_HS_GLIAL_V1.0","ARPC5L","mRNA",0,"","Phagocytosis","hsa04144;hsa04666;hsa04810;hsa05100;hsa05130;hsa05131;hsa05132","","ARPC5L","ARPC5L - mRNA","False"
"CNTNAP1 - mRNA","NM_003632.2:4050","NS_HS_GLIAL_V1.0","CNTNAP1","mRNA",0,"","Oligodendrocyte DifferentiationMaturation;Myelogenesis;Cytoskeletal Dynamics;Cell Migration","hsa04514","","CNTNAP1","CNTNAP1 - mRNA","False"
"ARPC2 - mRNA","NM_152862.1:755","NS_HS_GLIAL_V1.0","ARPC2","mRNA",0,"","Phagocytosis","hsa04144;hsa04666;hsa04810;hsa05100;hsa05130;hsa05131;hsa05132","","ARPC2","ARPC2 - mRNA","False"
